description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.6689956331877729,0.6682231947146645,0.6708689399877442,0.6689956331877729,0.0038685321807861326,0.03366842269897461,0.6645746301068897,0.6670411985018727,0.6652576844048231,0.6670411985018727,10
DecisionTree,0.6436681222707423,0.6436332610823292,0.6472825032183464,0.6436681222707423,0.24672679901123046,0.005300712585449219,0.6487123158573962,0.6464419475655431,0.6522315490100027,0.6464419475655431,10
Bagging,0.6908296943231441,0.6950855362160934,0.7054662215013683,0.6908296943231441,1.485956573486328,0.006939935684204102,0.6868479180971716,0.6846441947565544,0.6909147394504856,0.6846441947565544,10
RandomForest,0.7318777292576419,0.729545156613131,0.7299110806436392,0.7318777292576419,1.4934234619140625,0.01873631477355957,0.7252288764005035,0.7299625468164794,0.7225133286109331,0.7299625468164794,10
ExtraTrees,0.7117903930131004,0.7080822904120473,0.707042231440167,0.7117903930131004,0.3891434669494629,0.02146172523498535,0.7112575148222755,0.7194756554307117,0.7066554483197474,0.7194756554307117,10
AdaBoost,0.6506550218340611,0.6482181121888774,0.6599300327548622,0.6506550218340611,1.5111701965332032,0.015151453018188477,0.6316616752374068,0.6314606741573034,0.6398957501944131,0.6314606741573034,10
GradientBoosting,0.74235807860262,0.7430839999963991,0.7464781023222513,0.74235807860262,35.47197494506836,0.008913803100585937,0.7293366858926562,0.7295880149812735,0.730754805123024,0.7295880149812735,10
XGBoost,0.7397379912663755,0.7401887940736732,0.7413306568592349,0.7397379912663755,12.511676216125489,0.015814828872680663,0.7278888601568004,0.7295880149812735,0.7279493987779216,0.7295880149812735,10
Gaussian Process,0.6681222707423581,0.6608341753987876,0.6584299708799227,0.6681222707423581,13.486899662017823,2.257952165603638,0.6580992386724317,0.6692883895131085,0.656977176913381,0.6692883895131085,10
Hist Gradient Boosting,0.731004366812227,0.7317324909726315,0.7339629873092989,0.731004366812227,5.50817608833313,0.038549280166625975,0.7241283706742311,0.7243445692883895,0.7260649219418938,0.7243445692883895,10
SVC,0.6803493449781659,0.6732089886755855,0.6687753126775371,0.6803493449781659,0.24757909774780273,0.08026275634765626,0.68536807652187,0.6940074906367041,0.6796526426122267,0.6940074906367041,10
