description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7056768558951965,0.6888535191147833,0.6814686595950753,0.7056768558951965,0.008498430252075195,0.06053395271301269,0.6964737434263275,0.7119850187265918,0.6895991310290885,0.7119850187265918,24
DecisionTree,0.6305676855895197,0.6311202136806405,0.6368401923310913,0.6305676855895197,0.8878029823303223,0.0071141719818115234,0.6278134450617705,0.6258426966292135,0.6315331698204093,0.6258426966292135,24
Bagging,0.6829694323144104,0.6838125806680038,0.685338422057654,0.6829694323144104,5.072550487518311,0.010369348526000976,0.7015830221706347,0.700749063670412,0.7036279500683229,0.700749063670412,24
RandomForest,0.737117903930131,0.7292559338881356,0.7229650632652969,0.737117903930131,2.3309152126312256,0.02074713706970215,0.7278195256663103,0.7340823970037453,0.7240959870388073,0.7340823970037453,24
ExtraTrees,0.7240174672489083,0.7121805715210442,0.7033878985052859,0.7240174672489083,0.5803920269012451,0.023096036911010743,0.727762196743061,0.7340823970037452,0.7240824180847893,0.7340823970037452,24
AdaBoost,0.6462882096069869,0.6436660201323525,0.6477517168734203,0.6462882096069869,5.079494285583496,0.020977878570556642,0.6373825690817073,0.6337078651685394,0.6464157704635393,0.6337078651685394,24
GradientBoosting,0.7152838427947599,0.7137778495925831,0.7133143928436939,0.7152838427947599,123.2124674320221,0.011631488800048828,0.736550071851024,0.7378277153558053,0.7370344202815408,0.7378277153558053,24
XGBoost,0.7467248908296943,0.7444016867972293,0.7424422790833494,0.7467248908296943,43.13702054023743,0.020226430892944337,0.7270274292836547,0.7322097378277153,0.7238880097697377,0.7322097378277153,24
Gaussian Process,0.7379912663755459,0.7193341621603109,0.710041640173121,0.7379912663755459,19.66043872833252,3.7558351039886473,0.7266838686948781,0.7415730337078652,0.7192648517874332,0.7415730337078652,24
Hist Gradient Boosting,0.7362445414847162,0.7332577058099091,0.7306800286573182,0.7362445414847162,21.137557792663575,0.0454648494720459,0.7321615471520809,0.7337078651685393,0.7318387986544465,0.7337078651685393,24
SVC,0.7633187772925765,0.7565296407369851,0.7531561801644528,0.7633187772925765,0.31449127197265625,0.20210046768188478,0.7509429311696884,0.7561797752808989,0.7482463252876277,0.7561797752808989,24
