description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7694323144104803,0.7680209270508682,0.7677525925795945,0.7694323144104803,0.024616193771362305,0.11278347969055176,0.7808046716737562,0.7831460674157303,0.7801708147392086,0.7831460674157303,19
DecisionTree,0.7100436681222707,0.7142421047326191,0.7197870765155616,0.7100436681222707,2.847317409515381,0.010882759094238281,0.7082567574883949,0.7044943820224718,0.7141881916708905,0.7044943820224718,19
Bagging,0.7458515283842795,0.7482003101394332,0.7512847103162286,0.7458515283842795,16.6680006980896,0.01950535774230957,0.7666006516631012,0.7651685393258427,0.7699235751519089,0.7651685393258427,19
RandomForest,0.7737991266375546,0.7741244766873979,0.7745869095444596,0.7737991266375546,4.737459421157837,0.024354267120361327,0.7767498028638087,0.7782771535580524,0.7761793280372393,0.7782771535580524,19
ExtraTrees,0.77117903930131,0.7709118303417668,0.7708000201228088,0.77117903930131,0.9116613388061523,0.026321268081665038,0.7920592457874749,0.7943820224719101,0.7913890843283402,0.7943820224719101,19
AdaBoost,0.6820960698689956,0.6734233580797899,0.6817827978109874,0.6820960698689956,15.967398691177369,0.03392171859741211,0.6454522879255062,0.6655430711610487,0.6794230478543953,0.6655430711610487,19
GradientBoosting,0.7790393013100436,0.7781258054284451,0.7776845014143613,0.7790393013100436,394.17458481788634,0.015771198272705077,0.7779401226184255,0.7786516853932584,0.7782585559545436,0.7786516853932584,19
XGBoost,0.7572052401746725,0.756922712347447,0.7568259958498448,0.7572052401746725,103.52734942436219,0.02933340072631836,0.7816034003481881,0.7838951310861424,0.7803350752110638,0.7838951310861424,19
Gaussian Process,0.777292576419214,0.7748996964745801,0.7739315064742021,0.777292576419214,81.58169169425965,6.549765539169312,0.7999301246728218,0.805243445692884,0.7994887674962847,0.805243445692884,19
Hist Gradient Boosting,0.7668122270742358,0.7664321596038867,0.7662855720855279,0.7668122270742358,99.97988476753235,0.07452387809753418,0.7857845141921523,0.7880149812734082,0.7847976442295062,0.7880149812734082,19
SVC,0.7834061135371179,0.7785976659477137,0.7769647283193749,0.7834061135371179,1.0271567344665526,0.5827768802642822,0.7888813189821084,0.7936329588014981,0.7890128053349506,0.7936329588014981,19
