description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7860262008733624,0.7800873092336066,0.7785857047579923,0.7860262008733624,0.025183391571044923,0.11824564933776856,0.7805802800872298,0.7835205992509364,0.7790210448935304,0.7835205992509364,4
DecisionTree,0.7013100436681222,0.7048360695857269,0.7093795599110945,0.7013100436681222,2.8297051429748534,0.011004495620727538,0.7111017094718589,0.7071161048689139,0.7171542178887785,0.7071161048689139,4
Bagging,0.7441048034934498,0.7461325347190835,0.7485011480757516,0.7441048034934498,16.134851360321044,0.01984882354736328,0.748272339579813,0.7460674157303371,0.7520217501627686,0.7460674157303371,4
RandomForest,0.7912663755458516,0.7880697821583753,0.7867556215674021,0.7912663755458516,4.61405987739563,0.02372851371765137,0.7831672664606266,0.7850187265917603,0.7833592307962728,0.7850187265917603,4
ExtraTrees,0.7895196506550218,0.7843036632927777,0.7835988905840278,0.7895196506550218,1.2011174201965331,0.02719402313232422,0.7797107203515299,0.7816479400749063,0.7796271062442562,0.7816479400749063,4
AdaBoost,0.6323144104803493,0.6184769833741732,0.6394367075973526,0.6323144104803493,15.900007343292236,0.03412981033325195,0.6023212433668518,0.6273408239700375,0.6473136480001658,0.6273408239700375,4
GradientBoosting,0.788646288209607,0.7854974563315731,0.7845014693229819,0.788646288209607,389.5573076725006,0.015926599502563477,0.7690215625693652,0.7700374531835206,0.7700223089538148,0.7700374531835206,4
XGBoost,0.7834061135371179,0.7780789569240756,0.7769123987360224,0.7834061135371179,107.28973126411438,0.03074159622192383,0.7739920332614256,0.7756554307116106,0.7736304998053886,0.7756554307116106,4
Gaussian Process,0.7895196506550218,0.7824700888664922,0.782089228037358,0.7895196506550218,77.98387923240662,6.180488061904907,0.7894478194525961,0.79438202247191,0.7887498405067126,0.79438202247191,4
Hist Gradient Boosting,0.7851528384279476,0.7812978447323952,0.7805625831520695,0.7851528384279476,121.74070796966552,0.0821312427520752,0.7766110957425765,0.7786516853932585,0.7767516843997491,0.7786516853932585,4
SVC,0.7973799126637554,0.7921758192362972,0.7906666848368156,0.7973799126637554,0.6395666599273682,0.5596008777618409,0.7886503585458666,0.7906367041198503,0.7882844663518966,0.7906367041198503,4
