description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7510917030567685,0.7477815841803837,0.7464906702287027,0.7510917030567685,0.023751258850097656,0.11582469940185547,0.7592453752707186,0.7617977528089888,0.759388295203839,0.7617977528089888,8
DecisionTree,0.7161572052401747,0.7217361659581663,0.7295433784025255,0.7161572052401747,2.638489818572998,0.010930347442626952,0.712199036637439,0.7093632958801498,0.717087556261227,0.7093632958801498,8
Bagging,0.7266375545851529,0.7328495227056793,0.7432249023312112,0.7266375545851529,15.452372407913208,0.019422245025634766,0.7537063107736168,0.751685393258427,0.7570280216023025,0.751685393258427,8
RandomForest,0.77117903930131,0.7732294454819487,0.7757351511648214,0.77117903930131,4.614428615570068,0.023732614517211915,0.7741050980865436,0.7756554307116105,0.7739369671700931,0.7756554307116105,8
ExtraTrees,0.7633187772925765,0.7655906930870159,0.7683578238659527,0.7633187772925765,1.2205701351165772,0.027663040161132812,0.7804369771475347,0.7816479400749063,0.7800242042483145,0.7816479400749063,8
AdaBoost,0.5912663755458515,0.5627565413690665,0.6111845234738631,0.5912663755458515,15.94042091369629,0.034261560440063475,0.5741702376081855,0.6052434456928839,0.6126889869853106,0.6052434456928839,8
GradientBoosting,0.7624454148471616,0.763966156204145,0.7660521789272936,0.7624454148471616,397.3247693538666,0.015700244903564455,0.7741460861466195,0.7749063670411984,0.7741885473512441,0.7749063670411984,8
XGBoost,0.7755458515283843,0.7755214768473065,0.7756114306879907,0.7755458515283843,106.17687721252442,0.029894447326660155,0.7689581760019384,0.7700374531835206,0.7684500879756972,0.7700374531835206,8
Gaussian Process,0.4148471615720524,0.3739481909031872,0.6293155221964293,0.4148471615720524,74.76311407089233,6.374649715423584,0.38436516225909895,0.4367041198501873,0.6132129657819936,0.4367041198501873,8
Hist Gradient Boosting,0.7694323144104803,0.7714586514833355,0.7738776643945507,0.7694323144104803,85.90640754699707,0.06658024787902832,0.7659397309998912,0.7674157303370788,0.7653084873335663,0.7674157303370788,8
SVC,0.7930131004366813,0.7875155912727251,0.7854378887080669,0.7930131004366813,0.4644937515258789,0.5377853393554688,0.7830489890551078,0.7921348314606741,0.7840800553672267,0.7921348314606741,8
