description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7275109170305677,0.712751120379032,0.7047847142131093,0.7275109170305677,0.012066841125488281,0.0635981559753418,0.6936082597091188,0.7119850187265918,0.685087584294854,0.7119850187265918,21
DecisionTree,0.6489082969432315,0.6463576960757147,0.6444547253120055,0.6489082969432315,1.2067651271820068,0.007271337509155274,0.653236647799452,0.652434456928839,0.6562762369616589,0.652434456928839,21
Bagging,0.714410480349345,0.7150484618858556,0.7174059497969881,0.714410480349345,6.8445226669311525,0.010718059539794923,0.6916102580779973,0.6913857677902622,0.6941368294369307,0.6913857677902622,21
RandomForest,0.7318777292576419,0.7279465617350961,0.7247994596656057,0.7318777292576419,3.162080478668213,0.02121133804321289,0.7321848917313233,0.7378277153558053,0.7292212758692788,0.7378277153558053,21
ExtraTrees,0.7388646288209607,0.7315392260184833,0.7262837553137792,0.7388646288209607,0.7867495536804199,0.024531030654907228,0.7245275238752218,0.7333333333333334,0.7199264313338942,0.7333333333333334,21
AdaBoost,0.6183406113537118,0.6127305952951376,0.6204767337954891,0.6183406113537118,6.642526006698608,0.021988105773925782,0.6095664778388051,0.6176029962546816,0.6178239177602647,0.6176029962546816,21
GradientBoosting,0.7275109170305677,0.7237217822127583,0.7207819886872534,0.7275109170305677,160.53739967346192,0.012258958816528321,0.7210468169705399,0.7250936329588015,0.7186523930154217,0.7250936329588015,21
XGBoost,0.731004366812227,0.7283778816011268,0.7262921330742046,0.731004366812227,52.16022300720215,0.02014608383178711,0.7309572626731395,0.7367041198501874,0.7275737861301079,0.7367041198501874,21
Gaussian Process,0.6917030567685589,0.6572722164861112,0.6579179077381049,0.6917030567685589,31.406026983261107,4.007053661346435,0.6534126624968862,0.6925093632958802,0.6650837931810621,0.6925093632958802,21
Hist Gradient Boosting,0.7301310043668122,0.7271882518947098,0.7250654421769787,0.7301310043668122,32.595161247253415,0.0629049301147461,0.7217137106606699,0.7254681647940074,0.7192386587155092,0.7254681647940074,21
SVC,0.7126637554585152,0.6866555724463476,0.6821740479225372,0.7126637554585152,0.579407024383545,0.43034968376159666,0.6890354160612275,0.7142322097378278,0.6894792644998536,0.7142322097378278,21
