description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.719650655021834,0.7027319839367631,0.6949990379265756,0.719650655021834,0.008125782012939453,0.05518674850463867,0.7092912757833683,0.7243445692883895,0.7023270772640989,0.7243445692883895,7
DecisionTree,0.6078602620087337,0.6096931759799291,0.6123523949459144,0.6078602620087337,1.1277390003204346,0.007197141647338867,0.6540717720175533,0.6528089887640449,0.656901965839803,0.6528089887640449,7
Bagging,0.6986899563318777,0.6969134752081639,0.6959739507013532,0.6986899563318777,6.858652400970459,0.010851240158081055,0.7033267915290506,0.7059925093632959,0.7029873617631718,0.7059925093632959,7
RandomForest,0.725764192139738,0.7177865798883548,0.7134719559163873,0.725764192139738,3.1210302829742433,0.020976877212524413,0.728778513012862,0.7352059925093634,0.725270343113604,0.7352059925093634,7
ExtraTrees,0.7292576419213974,0.720211091955333,0.7180488248801983,0.7292576419213974,0.6322465896606445,0.02334589958190918,0.7330778228549713,0.7430711610486892,0.7283060302733887,0.7430711610486892,7
AdaBoost,0.5877729257641922,0.5703980621740672,0.5778672156645865,0.5877729257641922,6.442666912078858,0.021359920501708984,0.5789541180009289,0.6007490636704119,0.59922458760524,0.6007490636704119,7
GradientBoosting,0.7205240174672489,0.7164108398568615,0.7140141617083262,0.7205240174672489,156.9272180080414,0.013151216506958007,0.7245962011869626,0.7262172284644196,0.724424819328517,0.7262172284644196,7
XGBoost,0.7213973799126637,0.716085935898081,0.7125914514923759,0.7213973799126637,50.95963315963745,0.02098240852355957,0.7376512642672479,0.7430711610486892,0.7343671068562128,0.7430711610486892,7
Gaussian Process,0.7109170305676856,0.678157764815111,0.6757723717093885,0.7109170305676856,21.73529143333435,3.682942819595337,0.6914812184096264,0.7191011235955056,0.6913266298637655,0.7191011235955056,7
Hist Gradient Boosting,0.7301310043668122,0.7241831189901601,0.722430456789978,0.7301310043668122,24.37237958908081,0.04705734252929687,0.7348821309867175,0.7382022471910112,0.7333296456702811,0.7382022471910112,7
SVC,0.7266375545851529,0.7116185042831609,0.7079453788825412,0.7266375545851529,0.3935107231140137,0.215408992767334,0.7180362162610339,0.7314606741573033,0.7143456229288615,0.7314606741573033,7
