description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7240174672489083,0.7123369244755585,0.7096175474769637,0.7240174672489083,0.001875591278076172,0.025374555587768556,0.6875580034682939,0.7018726591760299,0.679207931474717,0.7018726591760299,13
DecisionTree,0.6314410480349345,0.6303969501975614,0.6331050660383313,0.6314410480349345,0.03753461837768555,0.004700660705566406,0.6564276519290777,0.6580524344569287,0.6563922651002486,0.6580524344569287,13
Bagging,0.6777292576419214,0.679446362474746,0.6872679632657538,0.6777292576419214,0.2277367115020752,0.005987691879272461,0.7082136058202727,0.7093632958801498,0.7083005115643204,0.7093632958801498,13
RandomForest,0.7248908296943232,0.7224333107217745,0.7217186195610322,0.7248908296943232,0.5367050647735596,0.01836094856262207,0.7439751000643594,0.7486891385767791,0.7408012070080388,0.7486891385767791,13
ExtraTrees,0.725764192139738,0.721526239942208,0.7180875149140392,0.725764192139738,0.2337804317474365,0.02152714729309082,0.72861176232463,0.7367041198501874,0.7232249728895394,0.7367041198501874,13
AdaBoost,0.6026200873362445,0.596019411744432,0.5976843191811779,0.6026200873362445,0.2526120662689209,0.013351106643676757,0.6124637367978365,0.6228464419475656,0.6189369412496981,0.6228464419475656,13
GradientBoosting,0.714410480349345,0.7140116635909957,0.7168431426831141,0.714410480349345,5.300961923599243,0.008496618270874024,0.7325108892332478,0.7359550561797754,0.7307374474835882,0.7359550561797754,13
XGBoost,0.7231441048034934,0.7243552521186324,0.7279712790258129,0.7231441048034934,2.441084384918213,0.01314373016357422,0.7370063726266143,0.7385767790262172,0.7361686403052907,0.7385767790262172,13
Gaussian Process,0.6480349344978166,0.6122690835204987,0.6225902381522226,0.6480349344978166,9.908731317520141,1.7546231746673584,0.6316145210621728,0.6681647940074906,0.6396612688680807,0.6681647940074906,13
Hist Gradient Boosting,0.7213973799126637,0.7224270215081549,0.7251057323009958,0.7213973799126637,1.6300909519195557,0.0344963550567627,0.7330456620222918,0.7340823970037453,0.7330353364388908,0.7340823970037453,13
SVC,0.7353711790393013,0.7306309985841444,0.7284236764582298,0.7353711790393013,0.11642141342163086,0.04820795059204101,0.7416694459234444,0.750936329588015,0.7379875596127086,0.750936329588015,13
