description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7336244541484717,0.7292297675162527,0.7270150985809433,0.7336244541484717,0.014541530609130859,0.08860764503479004,0.722388905613879,0.7258426966292135,0.7218526296101347,0.7258426966292135,23
DecisionTree,0.6480349344978166,0.6497488374029156,0.6517232187091064,0.6480349344978166,2.2312787532806397,0.009491968154907226,0.6579403175235701,0.6543071161048689,0.6630211523889853,0.6543071161048689,23
Bagging,0.7179039301310044,0.7214195206474561,0.7286266103933817,0.7179039301310044,13.45466570854187,0.015686225891113282,0.7178354123656722,0.7164794007490636,0.720572952969259,0.7164794007490636,23
RandomForest,0.7458515283842795,0.7427106057215259,0.7401189598408855,0.7458515283842795,4.433219003677368,0.023288154602050783,0.7425286207169365,0.745318352059925,0.7406362101430496,0.745318352059925,23
ExtraTrees,0.74235807860262,0.7394303921557852,0.7369059599462455,0.74235807860262,0.7946288585662842,0.02592296600341797,0.7437645958722053,0.746441947565543,0.7423456222574945,0.746441947565543,23
AdaBoost,0.6200873362445415,0.6066406228463052,0.6239865680850447,0.6200873362445415,12.92727780342102,0.02968745231628418,0.6001767439550537,0.6108614232209738,0.6173981856702705,0.6108614232209738,23
GradientBoosting,0.748471615720524,0.7472474793655075,0.7463370498000386,0.748471615720524,316.24786853790283,0.014866495132446289,0.7372325997837151,0.7389513108614232,0.7362253045942254,0.7389513108614232,23
XGBoost,0.737117903930131,0.7352068299313723,0.7336020656507896,0.737117903930131,93.20365862846374,0.025330209732055665,0.7456730483538472,0.746816479400749,0.7454000125141271,0.746816479400749,23
Gaussian Process,0.7318777292576419,0.7172146717134217,0.7088196880581045,0.7318777292576419,31.318846654891967,5.130522394180298,0.7207153367190337,0.7363295880149814,0.7148298441033514,0.7363295880149814,23
Hist Gradient Boosting,0.748471615720524,0.7483193653420277,0.74841739580108,0.748471615720524,48.244682455062865,0.04808974266052246,0.7443551209257608,0.7453183520599251,0.7438032371119353,0.7453183520599251,23
SVC,0.748471615720524,0.7450439726058797,0.7428812104662618,0.748471615720524,0.4458686351776123,0.3263061046600342,0.7561540623536548,0.7595505617977528,0.7540551131401317,0.7595505617977528,23
