description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7537117903930131,0.7473604187040473,0.7455730585167526,0.7537117903930131,0.015421676635742187,0.09830021858215332,0.7521120276196085,0.7558052434456928,0.7509411692717222,0.7558052434456928,28
DecisionTree,0.6812227074235808,0.6841426670180696,0.6883348196227107,0.6812227074235808,2.1922457218170166,0.009667015075683594,0.6958693348435704,0.69438202247191,0.6984728441286439,0.69438202247191,28
Bagging,0.7179039301310044,0.7215857220035788,0.7263818284266327,0.7179039301310044,12.315478563308716,0.015056133270263672,0.7401379913732539,0.7385767790262172,0.7431680577590801,0.7385767790262172,28
RandomForest,0.7580786026200873,0.7571864702854172,0.7566490732687527,0.7580786026200873,4.092936372756958,0.02282891273498535,0.7733520971229074,0.7749063670411985,0.7729313406574285,0.7749063670411985,28
ExtraTrees,0.7519650655021834,0.7492600688080069,0.748334074217572,0.7519650655021834,0.8101070880889892,0.025220441818237304,0.7671332243543502,0.7696629213483146,0.7669314360174044,0.7696629213483146,28
AdaBoost,0.6410480349344978,0.6356424696088376,0.6517361393627207,0.6410480349344978,12.735008478164673,0.029260683059692382,0.6374226304281411,0.6441947565543071,0.6532709102770522,0.6441947565543071,28
GradientBoosting,0.7414847161572052,0.7419192360953623,0.7426861969496391,0.7414847161572052,311.0853142261505,0.014122104644775391,0.7578159189039645,0.7580524344569288,0.7591414439930904,0.7580524344569288,28
XGBoost,0.743231441048035,0.7412309566048156,0.7400102573443864,0.743231441048035,86.3607460975647,0.026912879943847657,0.7690613413851162,0.7707865168539326,0.7684971308168571,0.7707865168539326,28
Gaussian Process,0.7746724890829695,0.7636282341972012,0.7649482739298914,0.7746724890829695,32.47232432365418,5.2216376781463625,0.771860372331173,0.7790262172284643,0.7699383044101906,0.7790262172284643,28
Hist Gradient Boosting,0.7467248908296943,0.7441401711432393,0.7438272224613808,0.7467248908296943,46.34705300331116,0.045102500915527345,0.7592469765831484,0.7614232209737828,0.7587277830022836,0.7614232209737828,28
SVC,0.7790393013100436,0.7741209845660069,0.7735828410488955,0.7790393013100436,0.3662425518035889,0.27084941864013673,0.7747748733526058,0.7779026217228464,0.7741037498127501,0.7779026217228464,28
