description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7729257641921398,0.7704188919405097,0.7683445006887113,0.7729257641921398,0.014783573150634766,0.087990140914917,0.7750064698685909,0.7794007490636704,0.7729260986859272,0.7794007490636704,22
DecisionTree,0.7117903930131004,0.7163930491248555,0.7223909194403628,0.7117903930131004,2.017367458343506,0.009720897674560547,0.7027786532920504,0.700749063670412,0.7063914033207972,0.700749063670412,22
Bagging,0.7353711790393013,0.7417441847530437,0.7508799553050535,0.7353711790393013,11.868997526168823,0.015455913543701173,0.7467132937605364,0.744943820224719,0.7511480026026379,0.744943820224719,22
RandomForest,0.7572052401746725,0.7557414111252044,0.7554936793187434,0.7572052401746725,4.00898003578186,0.022601938247680663,0.7822026835255202,0.7850187265917603,0.7811504223313401,0.7850187265917603,22
ExtraTrees,0.7694323144104803,0.7662131157035712,0.7652704041279208,0.7694323144104803,0.9073803901672364,0.025061702728271483,0.782280398327605,0.7861423220973782,0.7810148371627214,0.7861423220973782,22
AdaBoost,0.617467248908297,0.6048830915857887,0.6338318405116488,0.617467248908297,12.666487646102905,0.029686498641967773,0.5967071715435347,0.6149812734082397,0.6212683261255508,0.6149812734082397,22
GradientBoosting,0.7606986899563318,0.7605193268775745,0.7611642575978735,0.7606986899563318,313.66286339759824,0.014174985885620116,0.7625689771535458,0.7636704119850186,0.7625937882688341,0.7636704119850186,22
XGBoost,0.7668122270742358,0.7673978794313859,0.7681466754727889,0.7668122270742358,89.00944323539734,0.02663865089416504,0.7766126299757334,0.7797752808988764,0.7750369817081488,0.7797752808988764,22
Gaussian Process,0.7825327510917031,0.7742761601686308,0.7710546187727837,0.7825327510917031,53.77625970840454,5.305072498321533,0.7992561837808779,0.8082397003745317,0.7992133634508958,0.8082397003745317,22
Hist Gradient Boosting,0.7720524017467248,0.7719818369042026,0.7721890926923295,0.7720524017467248,63.12938294410706,0.05944080352783203,0.7770729968053798,0.7808988764044944,0.7754668973427064,0.7808988764044944,22
SVC,0.7930131004366813,0.7851400189258648,0.785612863153369,0.7930131004366813,0.44226927757263185,0.32950963973999026,0.8048993633108786,0.8131086142322097,0.8073969215714338,0.8131086142322097,22
