description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7825327510917031,0.7779786639647674,0.7755957138251051,0.7825327510917031,0.014145994186401367,0.09474420547485352,0.7740371164110693,0.7790262172284643,0.7716004650778356,0.7790262172284643,18
DecisionTree,0.7056768558951965,0.7091706985726322,0.7152889837348196,0.7056768558951965,1.9617070198059081,0.00959329605102539,0.710137420053009,0.7071161048689139,0.7151638272667806,0.7071161048689139,18
Bagging,0.7397379912663755,0.7428968107314324,0.7472002504113807,0.7397379912663755,11.93437476158142,0.015545177459716796,0.7480080033797654,0.7453183520599251,0.7527888960871778,0.7453183520599251,18
RandomForest,0.7764192139737991,0.775252076691525,0.7752958358117289,0.7764192139737991,3.946013259887695,0.022448158264160155,0.7746925097775075,0.7767790262172285,0.7740184121693593,0.7767790262172285,18
ExtraTrees,0.7938864628820961,0.7928084349413638,0.7920690909197106,0.7938864628820961,0.973208236694336,0.0250852108001709,0.7841331449373173,0.7872659176029964,0.7834831607116441,0.7872659176029964,18
AdaBoost,0.5711790393013101,0.5308506445103192,0.5792633939571346,0.5711790393013101,12.020481061935424,0.030134010314941406,0.5603555162322091,0.5955056179775282,0.5962739593175963,0.5955056179775282,18
GradientBoosting,0.7825327510917031,0.7804825440456136,0.7793257793896969,0.7825327510917031,306.1885452747345,0.014102363586425781,0.7717620430308024,0.7719101123595505,0.7725967855113061,0.7719101123595505,18
XGBoost,0.7842794759825328,0.782943749509987,0.7830257444574704,0.7842794759825328,87.32192282676696,0.026730680465698244,0.775549082188,0.7782771535580524,0.7747687090607276,0.7782771535580524,18
Gaussian Process,0.8165938864628821,0.8087428084119929,0.8082330547017387,0.8165938864628821,52.620604848861696,5.595661735534668,0.7907727926094695,0.798876404494382,0.7885686915545701,0.798876404494382,18
Hist Gradient Boosting,0.788646288209607,0.7879175136322017,0.7875205251881091,0.788646288209607,48.71775918006897,0.04718003273010254,0.7742173272862833,0.7767790262172285,0.773416207212572,0.7767790262172285,18
SVC,0.8183406113537118,0.8124673476268857,0.8124894840742098,0.8183406113537118,0.41487903594970704,0.35977816581726074,0.8011023337503612,0.8074906367041198,0.8010274992897524,0.8074906367041198,18
