description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7746724890829695,0.7668234824084633,0.7626560857475978,0.7746724890829695,0.01659250259399414,0.09512677192687988,0.7505721089416872,0.7573033707865168,0.7479045737882258,0.7573033707865168,15
DecisionTree,0.6873362445414847,0.6928701249681803,0.69943672973906,0.6873362445414847,2.2470471382141115,0.010212421417236328,0.7012247673846194,0.697378277153558,0.706740379979433,0.697378277153558,15
Bagging,0.7406113537117904,0.7417206581400152,0.7429789596284546,0.7406113537117904,13.330671882629394,0.018705463409423827,0.7444354391152268,0.7434456928838952,0.7478672995415738,0.7434456928838952,15
RandomForest,0.7615720524017467,0.7584700863023348,0.7571045945818409,0.7615720524017467,4.206084489822388,0.022794342041015624,0.7659593521711705,0.7689138576779027,0.7655288453737024,0.7689138576779027,15
ExtraTrees,0.7572052401746725,0.7541278206818139,0.7521894577709792,0.7572052401746725,0.8236461639404297,0.025150394439697264,0.7710684783558008,0.7741573033707866,0.7700712075441027,0.7741573033707866,15
AdaBoost,0.662882096069869,0.6418935724541625,0.6628206194517161,0.662882096069869,12.724337959289551,0.029515981674194336,0.6270893219057729,0.6303370786516853,0.653053915579413,0.6303370786516853,15
GradientBoosting,0.7563318777292577,0.7538669626102771,0.7521557246463462,0.7563318777292577,312.10345764160155,0.013925695419311523,0.7656296374243784,0.7666666666666667,0.7665651007793788,0.7666666666666667,15
XGBoost,0.759825327510917,0.756387947145091,0.7543096460337079,0.759825327510917,90.85721979141235,0.027023839950561523,0.7743532566526727,0.7767790262172285,0.7742295665728014,0.7767790262172285,15
Gaussian Process,0.7737991266375546,0.7657723763100384,0.762131344252265,0.7737991266375546,65.60412511825561,5.312647867202759,0.7813190344207206,0.7891385767790262,0.7793527050358284,0.7891385767790262,15
Hist Gradient Boosting,0.7676855895196506,0.7656999037645048,0.7642795429360704,0.7676855895196506,56.592232131958006,0.057938337326049805,0.7626700539877358,0.7659176029962547,0.761448394809901,0.7659176029962547,15
SVC,0.7816593886462883,0.7775060257211158,0.7751254052670903,0.7816593886462883,0.4643245697021484,0.5273346424102783,0.7957254357116434,0.7996254681647941,0.7954046204660795,0.7996254681647941,15
