description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7458515283842795,0.7351850035975255,0.7331240721610705,0.7458515283842795,0.014011526107788086,0.08580527305603028,0.7230634454809244,0.7344569288389513,0.7181583603495671,0.7344569288389513,11
DecisionTree,0.6672489082969433,0.6773325323715627,0.6906929245130259,0.6672489082969433,2.186003065109253,0.009595537185668945,0.6646762258380569,0.6644194756554306,0.6662522106232271,0.6644194756554306,11
Bagging,0.7082969432314411,0.7114882534457998,0.7152004972516279,0.7082969432314411,12.585938692092896,0.016205263137817384,0.7184976451431684,0.7187265917602996,0.7188965006868727,0.7187265917602996,11
RandomForest,0.7475982532751092,0.7411705292929501,0.7384575256534947,0.7475982532751092,4.279271221160888,0.023404312133789063,0.7474869391461395,0.752434456928839,0.7440592350954924,0.752434456928839,11
ExtraTrees,0.7414847161572052,0.7356420404226285,0.7322233428814631,0.7414847161572052,0.8096757411956788,0.025499820709228516,0.7486417277437907,0.7558052434456929,0.7447852533555392,0.7558052434456929,11
AdaBoost,0.6663755458515284,0.6582023430110487,0.6646618960565298,0.6663755458515284,12.7762282371521,0.029493093490600586,0.6128658212591163,0.6202247191011236,0.6234683059791689,0.6202247191011236,11
GradientBoosting,0.7493449781659388,0.7467504744773154,0.745509206052497,0.7493449781659388,314.95050873756406,0.015111541748046875,0.7358287540677176,0.7374531835205992,0.7354917624179508,0.7374531835205992,11
XGBoost,0.7449781659388647,0.7429743445547516,0.7415208868757415,0.7449781659388647,98.26526837348938,0.02956538200378418,0.7511924335658042,0.7550561797752808,0.7491990555673351,0.7550561797752808,11
Gaussian Process,0.7240174672489083,0.7102212138040004,0.7122126678449818,0.7240174672489083,31.94572229385376,5.231265306472778,0.6932452157350826,0.7119850187265918,0.6909619047930086,0.7119850187265918,11
Hist Gradient Boosting,0.7414847161572052,0.7391705612531979,0.7383386435628195,0.7414847161572052,46.69356622695923,0.047064208984375,0.7438433351048467,0.746816479400749,0.7422580267939095,0.746816479400749,11
SVC,0.7537117903930131,0.7438703377162901,0.7400140747784959,0.7537117903930131,0.6557356834411621,0.33707499504089355,0.7227017325312599,0.7352059925093632,0.7160773266321648,0.7352059925093632,11
