description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7117903930131004,0.6970307849851738,0.688111066829328,0.7117903930131004,0.009650087356567383,0.0605217456817627,0.7088793834016237,0.7258426966292134,0.7002116505795971,0.7258426966292134,29
DecisionTree,0.640174672489083,0.6446663112818979,0.6558441403326849,0.640174672489083,1.2082084178924561,0.007621192932128906,0.6371128332741662,0.6337078651685394,0.6421125574626885,0.6337078651685394,29
Bagging,0.7109170305676856,0.7118358480255726,0.7134434907737188,0.7109170305676856,7.113994693756103,0.013916921615600587,0.7046953246897523,0.702621722846442,0.7085747216126519,0.702621722846442,29
RandomForest,0.748471615720524,0.7432992913160751,0.7399985835763631,0.748471615720524,3.2926377296447753,0.023204994201660157,0.724658050712234,0.7307116104868914,0.7205271714389303,0.7307116104868914,29
ExtraTrees,0.7353711790393013,0.7283560740905921,0.7245600921054094,0.7353711790393013,0.8276795387268067,0.02539515495300293,0.7257510423894693,0.7344569288389513,0.7205153497742509,0.7344569288389513,29
AdaBoost,0.5868995633187772,0.5528269058125364,0.5725305396373138,0.5868995633187772,6.7436281681060795,0.022881221771240235,0.6072091351549325,0.6198501872659177,0.6187838073523876,0.6198501872659177,29
GradientBoosting,0.7318777292576419,0.7338711181056193,0.7361511167487744,0.7318777292576419,162.10760588645934,0.01293787956237793,0.7340075186828605,0.7340823970037453,0.7350208844672022,0.7340823970037453,29
XGBoost,0.7327510917030567,0.7293128996608191,0.7267623646876241,0.7327510917030567,51.47907314300537,0.020029497146606446,0.7332385764153239,0.7370786516853933,0.7311251855861854,0.7370786516853933,29
Gaussian Process,0.6585152838427948,0.6146464483655475,0.6304765481755259,0.6585152838427948,17.105430936813356,3.5268948554992674,0.6175770759059409,0.6651685393258426,0.6285978203241689,0.6651685393258426,29
Hist Gradient Boosting,0.7397379912663755,0.7402489431845523,0.7408866143621737,0.7397379912663755,20.89818501472473,0.043221139907836915,0.7418698687488184,0.7445692883895131,0.7402031447386499,0.7445692883895131,29
SVC,0.7231441048034934,0.7067046414108895,0.7039580477768006,0.7231441048034934,0.49933409690856934,0.2588076114654541,0.7012875108345712,0.7161048689138576,0.7032932564445104,0.7161048689138576,29
